"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"UA",2022-02-28,3804,"Zhytomyr Oblast","T_20Plus",188916,190400,224000,955216.081678681,964046.500874423,964220.895288666
"UA",2022-02-28,4290,"Kyiv","T_20Plus",565344,570200,670800,2293050.49645617,2232083.35767542,2231934.21459912
"UA",2022-03-01,3778,"Cherkasy Oblast","T_20Plus",162607,166800,196200,971211.368609472,966496.397443096,966307.952404173
"UA",2022-03-01,3779,"Chernihiv Oblast","T_20Plus",114523,114300,134500,822405.559414074,808308.037074756,807972.734624005
"UA",2022-03-01,3780,"Chernivtsi Oblast","T_20Plus",107424,110600,130100,709246.555391831,703425.228614173,703515.264533677
"UA",2022-03-01,3781,"Dnipropetrovsk Oblast","T_20Plus",332056,362500,426400,2493156.35819874,2533425.52971801,2533300.59293908
"UA",2022-03-01,3782,"Donetsk Oblast","T_20Plus",117044,137700,162100,3472800.60468102,3427318.78590379,3428950.44371931
"UA",2022-03-01,3783,"Ivano-Frankivsk Oblast","T_20Plus",187785,187800,221000,1058146.97555902,1066448.79575794,1066218.04570393
"UA",2022-03-01,3784,"Kharkiv Oblast","T_20Plus",220878,248900,292800,2130164.16641859,2152289.38132099,2151369.32691883
"UA",2022-03-01,3785,"Kherson Oblast","T_20Plus",89186,96700,113800,818125.208795004,815803.225225134,817210.039094049
"UA",2022-03-01,3787,"Kirovohrad Oblast","T_20Plus",121853,123900,145800,752884.653700897,744569.921876146,744369.830231931
"UA",2022-03-01,3791,"Luhansk Oblast","T_20Plus",43825,51700,61000,1870005.96447587,1842702.90994172,1842266.91514168
"UA",2022-03-01,3792,"Lviv Oblast","T_20Plus",404135,401500,472400,1997617.50884236,1973936.04463673,1974100.04182092
"UA",2022-03-01,3793,"Mykolaiv Oblast","T_20Plus",108199,117300,138000,888568.902244442,896817.487355383,897071.529738115
"UA",2022-03-01,3794,"Odessa Oblast","T_20Plus",249325,272000,320000,1821908.52098062,1844799.08144279,1844468.35432775
"UA",2022-03-01,3795,"Poltava Oblast","T_20Plus",167833,174500,205300,1102505.44831823,1108138.12185356,1107738.52240994
"UA",2022-03-01,3796,"Rivne Oblast","T_20Plus",146621,152800,179700,850053.921914789,859712.299650339,859484.64735641
"UA",2022-03-01,3798,"Sumy Oblast","T_20Plus",101521,102900,121000,875720.998364859,871104.688526648,870547.679878062
"UA",2022-03-01,3799,"Ternopil Oblast","T_20Plus",151497,151200,177800,854243.453652792,837522.934786933,837246.5502317
"UA",2022-03-01,3800,"Vinnytsia Oblast","T_20Plus",225269,225200,265000,1273881.87655475,1248796.73445731,1249113.43644861
"UA",2022-03-01,3801,"Volyn Oblast","T_20Plus",116612,120600,141900,761647.586840162,770996.693297,770753.11773984
"UA",2022-03-01,3802,"Zakarpattia Oblast","T_20Plus",174009,173900,204700,924711.783048549,938877.976373357,938880.833729932
"UA",2022-03-01,3804,"Zhytomyr Oblast","T_20Plus",184879,190700,224400,935810.905731179,951399.489169801,951725.632355509
"UA",2022-03-01,4290,"Kyiv","T_20Plus",565513,601000,707200,2296207.11814408,2318135.67545572,2318413.94853389
"UA",2022-03-02,3778,"Cherkasy Oblast","T_20Plus",158650,164100,193100,961091.269257124,990760.954516952,991083.609158378
"UA",2022-03-02,3779,"Chernihiv Oblast","T_20Plus",111624,109200,128400,813019.455171345,804654.442914074,803805.39037962
"UA",2022-03-02,3780,"Chernivtsi Oblast","T_20Plus",107572,110600,130200,720352.71016815,732949.493343382,733700.275186293
"UA",2022-03-02,3781,"Dnipropetrovsk Oblast","T_20Plus",328493,351800,413900,2501579.67188518,2561840.43136409,2562574.05312757
"UA",2022-03-02,3782,"Donetsk Oblast","T_20Plus",110358,133600,157100,3321119.86109363,3464839.5484485,3463106.5047895
"UA",2022-03-02,3783,"Ivano-Frankivsk Oblast","T_20Plus",183038,182800,215100,1046107.6880124,1081625.00866771,1081447.9822745
"UA",2022-03-02,3784,"Kharkiv Oblast","T_20Plus",223598,233000,274100,2187149.97339464,2099364.24357631,2098767.85977759
"UA",2022-03-02,3785,"Kherson Oblast","T_20Plus",87729,91500,107700,816237.048211673,804333.48020963,805969.493317439
"UA",2022-03-02,3787,"Kirovohrad Oblast","T_20Plus",120325,121400,142800,754046.493826146,760166.93845267,759750.36143718
"UA",2022-03-02,3791,"Luhansk Oblast","T_20Plus",43401,49300,58200,1878325.43194427,1830913.41366671,1831711.92039711
