"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"EG",2023-10-12,1007,"Asyut Governorate","T_20Plus",270453,302300,355600,3263341.19134377,3336716.6021757,3336454.62520943
"EG",2023-10-12,1008,"Beni Suef Governorate","T_20Plus",226268,246800,290300,3518438.3968951,3576217.21029383,3576676.95656752
"EG",2023-10-12,1009,"Port Said Governorate","T_20Plus",145502,143800,169200,2465499.97043403,2423041.83392335,2425038.66946417
"EG",2023-10-12,1010,"Damietta Governorate","T_20Plus",201632,205600,241900,1749404.36621655,1760172.79942623,1760307.27619481
"EG",2023-10-12,1011,"Kafr el-Sheikh Governorate","T_20Plus",258905,265700,312600,153913.884697397,149967.012862905,150029.87333859
"EG",2023-10-12,1012,"Matrouh Governorate","T_20Plus",120035,120700,142000,67161.2120019533,65593.6414580453,65606.0505173707
"EG",2023-10-12,1013,"Qena Governorate","T_20Plus",226394,246600,290200,262380.665339044,261763.125738956,261881.756534144
"EG",2023-10-12,1014,"Sohag Governorate","T_20Plus",253912,270200,317900,2775676.70724024,2748719.59893765,2749615.93616505
"EG",2023-10-12,1015,"South Sinai Governorate","T_20Plus",86797,85500,100600,2878773.31980621,2885091.62765614,2886209.75615113
"EG",2023-10-12,1016,"North Sinai Governorate","T_20Plus",46165,46500,54800,531994.922603972,476652.615206349,476689.040439868
"EG",2023-10-12,4194,"Luxor Governorate","T_20Plus",63781,71200,83800,1868625.57198291,1904966.88336736,1907084.2266658
"EG",2023-10-13,991,"Dakahlia Governorate","T_20Plus",594720,610800,718600,6529015.05764719,6616857.90547922,6618808.78143985
"EG",2023-10-13,992,"Red Sea Governorate","T_20Plus",139584,141300,166200,226925.720864571,223875.101778893,223742.324434239
"EG",2023-10-13,993,"Beheira Governorate","T_20Plus",623198,658200,774300,5240628.20107116,5264376.35185887,5265536.00580737
"EG",2023-10-13,994,"Faiyum Governorate","T_20Plus",211135,230900,271600,803452.116713458,829644.432535732,829612.316029878
"EG",2023-10-13,995,"Gharbia Governorate","T_20Plus",510891,513600,604300,1952175.29749482,1934740.03965263,1935282.84870152
"EG",2023-10-13,996,"Alexandria Governorate","T_20Plus",997914,991900,1200000,898382.860118408,905861.855310697,900033.501750463
"EG",2023-10-13,997,"Ismailia Governorate","T_20Plus",213871,223500,263000,782315.918160877,794700.642768046,795213.611168606
"EG",2023-10-13,998,"Giza Governorate","T_20Plus",1749886,1800000,2100000,2074774.85197791,2100020.26467383,2100485.0555992
"EG",2023-10-13,999,"Monufia Governorate","T_20Plus",567304,584600,687800,3167766.77196915,3182642.25258493,3183134.52094715
"EG",2023-10-13,1000,"Minya Governorate","T_20Plus",317418,344700,405500,240050.056395477,242156.435423104,242206.472895126
"EG",2023-10-13,1001,"Cairo Governorate","T_20Plus",2856995,2800000,3300000,3423939.46882454,3434447.55377115,3435207.68932008
"EG",2023-10-13,1002,"Qalyubia Governorate","T_20Plus",990268,1000000,1200000,931604.702760417,933146.449516463,933352.979905274
"EG",2023-10-13,1003,"New Valley Governorate","T_20Plus",24580,25700,30200,4393329.92836156,4258574.80484479,4255360.34580346
"EG",2023-10-13,1004,"Al Sharqia Governorate","T_20Plus",744596,780200,917800,4056155.69662877,4089551.24750677,4090273.86097464
"EG",2023-10-13,1005,"Suez Governorate","T_20Plus",185453,189600,223100,3764966.37284622,3735242.50889596,3735488.31941933
"EG",2023-10-13,1006,"Aswan Governorate","T_20Plus",135431,149100,175400,542753.685797612,537477.148251108,537362.754241215
"EG",2023-10-13,1007,"Asyut Governorate","T_20Plus",276773,302500,355800,3347615.66046852,3342877.60692162,3342119.37859534
"EG",2023-10-13,1008,"Beni Suef Governorate","T_20Plus",227371,246500,290000,3544076.39899735,3576099.37784589,3577035.27473339
"EG",2023-10-13,1009,"Port Said Governorate","T_20Plus",144626,143400,168700,2456538.66181617,2419162.82202362,2420616.20448773
"EG",2023-10-13,1010,"Damietta Governorate","T_20Plus",203130,204900,241000,1766631.64998641,1756257.02920347,1755748.08144482
"EG",2023-10-13,1011,"Kafr el-Sheikh Governorate","T_20Plus",257011,266900,314000,153154.676909417,150822.689994193,150872.803767505
"EG",2023-10-13,1012,"Matrouh Governorate","T_20Plus",119607,120700,142000,67082.3727671778,65671.3075785525,65680.4981811246
"EG",2023-10-13,1013,"Qena Governorate","T_20Plus",226517,246800,290400,263153.352658981,262285.61536667,262359.620082767
"EG",2023-10-13,1014,"Sohag Governorate","T_20Plus",246275,269600,317100,2698653.78917769,2745863.2474749,2745808.8123616
"EG",2023-10-13,1015,"South Sinai Governorate","T_20Plus",87280,85200,100200,2901741.2392817,2878372.60424557,2877995.92966523
"EG",2023-10-13,1016,"North Sinai Governorate","T_20Plus",44359,46100,54300,512409.9858285,473111.903078059,472875.683966588
"EG",2023-10-13,4194,"Luxor Governorate","T_20Plus",65529,71300,83900,1924445.84480408,1909901.1417434,1911526.66460464
"EG",2023-10-14,991,"Dakahlia Governorate","T_20Plus",602386,610700,718400,6590229.57225564,6593709.38387632,6604221.62007
"EG",2023-10-14,992,"Red Sea Governorate","T_20Plus",140313,140800,165700,227319.421258922,222338.868420185,222639.556373585
"EG",2023-10-14,993,"Beheira Governorate","T_20Plus",623114,657200,773100,5221741.33704133,5238846.91578461,5247249.25087833
"EG",2023-10-14,994,"Faiyum Governorate","T_20Plus",209285,231200,272000,793648.895797914,827951.699087829,829233.851014207
"EG",2023-10-14,995,"Gharbia Governorate","T_20Plus",513415,520900,612800,1955013.05152223,1955694.72181804,1958724.26509133
"EG",2023-10-14,996,"Alexandria Governorate","T_20Plus",1004781,993000,1200000,901426.463147641,903841.82114372,898299.936070807
"EG",2023-10-14,997,"Ismailia Governorate","T_20Plus",219427,224500,264100,799854.292435151,795593.971965235,797001.522639119
"EG",2023-10-14,998,"Giza Governorate","T_20Plus",1763362,1800000,2100000,2083498.74707454,2093016.18817518,2096439.28530739
