"country","collection_date","meta_key","geo_name","agesex","dau","mau_lower","mau_upper","pop_dau","pop_mau_lower","pop_mau_upper"
"JO",2023-10-15,1878,"Mafraq Governorate","T_20Plus",67361,63900,75200,371093.466191612,362589.433885579,362396.957012946
"JO",2023-10-15,1879,"Tafilah Governorate","T_20Plus",23428,23700,27900,62567.9518151164,67463.5979958498,67575.7670090524
"JO",2023-10-15,1880,"Zarqa Governorate","T_20Plus",200555,192800,226800,899872.354191277,921119.018361672,921042.926458929
"JO",2023-10-15,1881,"Irbid Governorate","T_20Plus",227556,216700,254900,1192211.88971444,1182331.21368026,1182210.59392538
"JO",2023-10-15,1882,"Amman Governorate","T_20Plus",714833,691900,813900,2724543.38436423,2740243.20463966,2740380.58511603
"JO",2023-10-15,4335,"Ajloun Governorate","T_20Plus",29326,27200,32000,113091.528396812,113674.113940937,113391.828638887
"JO",2023-10-15,4336,"Jerash Governorate","T_20Plus",58722,53500,63000,159719.452641653,159443.089170959,159512.041051541
"JO",2023-10-15,4337,"Madaba Governorate","T_20Plus",41815,37100,43700,132711.531355039,120322.198971609,120317.949298519
"JO",2023-10-15,4338,"Aqaba Governorate","T_20Plus",41292,38400,45200,118417.017918555,116196.609795172,116497.112706073
"JO",2023-10-16,1875,"Balqa Governorate","T_20Plus",133238,124700,146700,332161.838375557,322200.703014486,322223.678259875
"JO",2023-10-16,1877,"Karak Governorate","T_20Plus",48860,44500,52300,209562.759103044,206402.780051612,206129.688818427
"JO",2023-10-16,1878,"Mafraq Governorate","T_20Plus",67401,64300,75600,370335.647255836,367333.703066688,366823.609071512
"JO",2023-10-16,1879,"Tafilah Governorate","T_20Plus",24341,23100,27200,64835.0029811109,66201.6252026818,66332.2099669028
"JO",2023-10-16,1880,"Zarqa Governorate","T_20Plus",203020,192700,226700,908532.85054151,926885.209827837,926951.739299094
"JO",2023-10-16,1881,"Irbid Governorate","T_20Plus",226960,215600,253700,1185956.81773378,1184307.60534171,1184716.01901826
"JO",2023-10-16,1882,"Amman Governorate","T_20Plus",715193,684300,805000,2718734.41858498,2728524.36772236,2729006.03511805
"JO",2023-10-16,4335,"Ajloun Governorate","T_20Plus",29514,26500,31200,113516.688099786,111499.794113886,111315.375849858
"JO",2023-10-16,4336,"Jerash Governorate","T_20Plus",59216,52800,62100,160638.795100224,158424.14009264,158311.806645035
"JO",2023-10-16,4337,"Madaba Governorate","T_20Plus",40329,37300,43900,127658.109452293,121791.28156444,121697.676525272
"JO",2023-10-16,4338,"Aqaba Governorate","T_20Plus",40834,37800,44400,116795.072771884,115156.790001662,115220.161427717
"JO",2023-10-17,1875,"Balqa Governorate","T_20Plus",135778,124100,146000,337871.647802065,319013.465642127,319048.140440212
"JO",2023-10-17,1877,"Karak Governorate","T_20Plus",50073,44800,52700,214370.474418437,206733.448434857,206645.28420492
"JO",2023-10-17,1878,"Mafraq Governorate","T_20Plus",68002,64700,76100,372950.828070658,367731.885122803,367363.636594796
"JO",2023-10-17,1879,"Tafilah Governorate","T_20Plus",24645,23300,27400,65524.0379841741,66433.9072386261,66478.643704189
"JO",2023-10-17,1880,"Zarqa Governorate","T_20Plus",202585,194200,228500,904919.213748435,929331.518470778,929539.464292708
"JO",2023-10-17,1881,"Irbid Governorate","T_20Plus",227109,215700,253700,1184553.30948914,1178808.09692269,1178664.72340847
"JO",2023-10-17,1882,"Amman Governorate","T_20Plus",714713,689900,811700,2711914.06754322,2736809.98135463,2737664.26136256
"JO",2023-10-17,4335,"Ajloun Governorate","T_20Plus",29326,26700,31400,112586.205238336,111767.78811106,111456.714256632
"JO",2023-10-17,4336,"Jerash Governorate","T_20Plus",58229,52800,62100,157670.851899083,157615.368589001,157503.181181085
"JO",2023-10-17,4337,"Madaba Governorate","T_20Plus",39972,37100,43600,126295.403853928,120519.822020803,120248.669708317
"JO",2023-10-17,4338,"Aqaba Governorate","T_20Plus",42057,37600,44200,120071.95995252,113962.718092626,114115.280846116
"JO",2023-10-18,1875,"Balqa Governorate","T_20Plus",130077,123400,145200,329715.783626198,318372.44673711,318433.804970805
"JO",2023-10-18,1877,"Karak Governorate","T_20Plus",47458,44500,52300,206960.598670411,206098.973008993,205809.662493658
"JO",2023-10-18,1878,"Mafraq Governorate","T_20Plus",64483,64100,75400,360240.06056936,365652.139312756,365285.171468863
"JO",2023-10-18,1879,"Tafilah Governorate","T_20Plus",23405,22700,26700,63386.5856835252,64959.5209729505,65011.7769911301
"JO",2023-10-18,1880,"Zarqa Governorate","T_20Plus",196623,192100,226000,894651.150218463,922639.168463759,922654.821411182
"JO",2023-10-18,1881,"Irbid Governorate","T_20Plus",227909,215400,253500,1210873.07896502,1181467.40844279,1181944.18967595
"JO",2023-10-18,1882,"Amman Governorate","T_20Plus",709012,689700,811400,2740404.74442477,2746008.06144576,2746431.88179674
"JO",2023-10-18,4335,"Ajloun Governorate","T_20Plus",27503,26500,31100,107554.677569608,111335.676059402,110786.327205345
"JO",2023-10-18,4336,"Jerash Governorate","T_20Plus",57236,53000,62400,157869.502411249,158790.161615912,158829.623859026
"JO",2023-10-18,4337,"Madaba Governorate","T_20Plus",38391,36600,43000,123560.021351769,119329.752308144,119017.667528734
"JO",2023-10-18,4338,"Aqaba Governorate","T_20Plus",39032,37500,44200,113511.796509631,114074.691632426,114523.072598568
"JO",2023-10-19,1875,"Balqa Governorate","T_20Plus",130264,123400,145200,329148.79390395,318406.213229799,318441.026882622
"JO",2023-10-19,1877,"Karak Governorate","T_20Plus",47191,44500,52400,205147.416992526,206120.831808449,206207.856592826
